05/21/19 19:14:12:881 | [ERROR] |  |  |  | SLCoreService |  |  | 169237 | user based licensing: 0
05/21/19 19:14:12:882 | [INFO] |  |  |  | SLCoreService |  |  | 169237 | Service construction took 0.1 ms and succeed.
05/21/19 19:14:12:882 | [INFO] |  |  |  | SLCoreService |  |  | 169237 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
05/21/19 19:14:12:882 | [INFO] |  |  |  | SLCoreService |  |  | 169237 | Service destruction took 0.0 ms and succeed.
05/21/19 19:14:13:006 | [ERROR] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 169237 | Last updateCheck request status read : Success
05/21/19 19:14:13:006 | [ERROR] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 169237 | Last update check attempted timestamp read : 1558408283000
05/21/19 19:14:13:006 | [DEBUG] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 169237 | suppressing workflow for this launch
05/21/19 19:14:13:006 | [DEBUG] |  |  |  | AdobeGCClientFetchRuleWFImpl |  |  | 169237 | No rules to apply but wait duration found
05/21/19 19:14:13:007 | [INFO] |  |  |  | SLCoreService |  |  | 169237 | Starting up SLCore 2.0 Release (build 2.0.1.360321).
05/21/19 19:14:13:007 | [ERROR] |  |  |  | SLCoreService |  |  | 169237 | user based licensing: 0
05/21/19 19:14:13:007 | [INFO] |  |  |  | SLCoreService |  |  | 169237 | Service construction took 0.1 ms and succeed.
05/21/19 19:14:13:008 | [INFO] |  |  |  | SLCoreService |  |  | 169237 | Shutting down SLCore 2.0 Release (build 2.0.1.360321).
05/21/19 19:14:13:008 | [INFO] |  |  |  | SLCoreService |  |  | 169237 | Service destruction took 0.0 ms and succeed.
05/21/19 19:14:13:009 | [INFO] |  |  |  | AdobeGCMachineEvents |  |  | 169237 | Failed to fetch all records and error is 2
05/21/19 19:14:13:009 | [ERROR] |  |  |  | AdobeGCMachineEvents |  |  | 169237 | database is either empty or failed to read database
05/21/19 19:14:13:009 | [INFO] |  |  |  | AdobeGCClientImpl |  |  | 169237 | Semaphore signalled
05/21/19 19:14:13:010 | [INFO] |  |  |  | AdobeGCScheduler |  |  | 169237 | going to add task to scheduler
05/21/19 19:14:13:010 | [INFO] |  |  |  | AdobeGCScheduler |  |  | 169237 | AddTaskToScheduler started
05/21/19 19:14:13:010 | [ERROR] |  |  |  | AdobeGCScheduler |  |  | 169237 | Failed to add task scheduler entry
